Origin,Destination,Rate
"Guernsey, Wyoming","Various Cushing Destinations Located in Payne County, OK",251.15
"Platteville, Colorado","Various Cushing Destinations Located in Payne County, OK",251.15
"Buckingham, Colorado","Various Cushing Destinations Located in Payne County, OK",251.15
"Guernsey, Wyoming","Augusta Located in Butler County, KS (El Dorado)",387.47
"Guernsey, Wyoming","Augusta Located in Butler County, KS (El Dorado)",262.29
"Sterling, Colorado","Augusta Located in Butler County, KS (El Dorado)",339.78
"Sterling, Colorado","Augusta Located in Butler County, KS (El Dorado)",214.60
Buckingham Located in Weld,"Various Cushing Destinations Located in Payne County, OK",214.30
Buckingham Located in Weld,"Various Cushing Destinations Located in Payne County, OK",244.01
"County, CO","Various Cushing Destinations Located in Payne County, OK",214.30
"County, CO","Various Cushing Destinations Located in Payne County, OK",244.01
Pawnee Located in Weld,"Various Cushing Destinations Located in Payne County, OK",244.01
Pawnee Located in Weld,"Various Cushing Destinations Located in Payne County, OK",n/a
"County, CO","Various Cushing Destinations Located in Payne County, OK",n/a
