Pipeline,EffectiveDate,RateType,ExpiryDate,RateTier,MinBPD,MaxBPD
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT TRANSPORTATION RATES,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT LINE FILL RETURN RATES,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,Rate Tier 1,0,12999
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,Rate Tier 2,13000,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,28-02-2026,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY INCENTIVE RATES FOR AGB SEGREGATED BATCHES,28-02-2026,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT RATES,,,3000,4999
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT RATES,,,0,15000
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,,5000,11999
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,,12000,23999
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,,5000,11999
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,,12000,23999
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,,24000,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,,24000,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,Rate Tier I,1,12999
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,CONTRACT VOLUME INCENTIVE RATES,,Rate Tier II,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,PLA RATES and ORIGIN/DESTINATION GRADE PAIRS,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,Rate Tier i,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,Rate Tier II,,
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,,,Rate Tier I,,
