Origin,Destination,Rate
"Guernsey PXP Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey PXP Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey PXP Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71
"Guernsey PXP Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71
"Guernsey PXP Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71
"Guernsey PXP Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71
"Guernsey Eighty Eight Oil Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey Eighty Eight Oil Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey Eighty Eight Oil Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71
"Guernsey Eighty Eight Oil Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71
"Guernsey Eighty Eight Oil Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71
"Guernsey Eighty Eight Oil Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71
"Guernsey PRG Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey PRG Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey PRG Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71
"Guernsey PRG Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71
"Guernsey PRG Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71
"Guernsey PRG Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71
"Guernsey Sinclair Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey Sinclair Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey Sinclair Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71
"Guernsey Sinclair Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71
"Guernsey Sinclair Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71
"Guernsey Sinclair Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71
"Guernsey HH Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey HH Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey HH Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71
"Guernsey HH Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71
"Guernsey HH Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71
"Guernsey HH Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71
"Carpenter Located in Laramie County, WY","Pawnee Located in Weld County, CO",N/A
"Carpenter Located in Laramie County, WY","Buckingham Located in Weld County, CO",N/A
"Carpenter Located in Laramie County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71
"Carpenter Located in Laramie County, WY","McPherson Located in McPherson County, KS2",282.71
"Carpenter Located in Laramie County, WY","P66 Ponca City Located in Kay County, OK",282.71
"Carpenter Located in Laramie County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71
"Platteville Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"Platteville Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"Platteville Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71
"Platteville Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71
"Platteville Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71
"Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71
"Buckingham Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"Buckingham Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"Buckingham Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71
