Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","Augusta Located in Butler County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","Augusta Located in Butler County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","Augusta Located in Butler County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","Augusta Located in Butler County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","Augusta Located in Butler County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","Augusta Located in Butler County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","Augusta Located in Butler County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","Augusta Located in Butler County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","McPherson Located in McPherson County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","McPherson Located in McPherson County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","McPherson Located in McPherson County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","McPherson Located in McPherson County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS2",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,515.26,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,361.07,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,518.32,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,518.32,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK3",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,518.32,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK3",,01-12-2025,28-02-2026,Effective,Rate Tier 1,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,518.32,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,364.13,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,364.13,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK3",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,0,12999.0,,,364.13,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK3",,01-12-2025,28-02-2026,Effective,Rate Tier 2,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,,13000,,,,364.13,,Crude
