Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PXP Located in Platte County, WY","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PXP Located in Platte County, WY","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PXP Located in Platte County, WY","Sterling Located in Logan County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,19.9,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PXP Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PXP Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PXP Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PXP Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Eighty Eight Oil Located in Platte County, WY","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Eighty Eight Oil Located in Platte County, WY","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Eighty Eight Oil Located in Platte County, WY","Sterling Located in Logan County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,19.9,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Eighty Eight Oil Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Eighty Eight Oil Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Eighty Eight Oil Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Eighty Eight Oil Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PRG Located in Platte County, WY","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey PRG Located in Platte County, WY","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
