Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Platteville Located in Weld County, CO (Tier I 5,000 – 19,999 BPD) | Shipper A Incentive Rate",CONTRACT VOLUME INCENTIVE RATES,,5000,19999,,,219.39,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Platteville Located in Weld County, CO (Tier I 5,000 – 19,999 BPD) | Shipper A Extra Barrel Rate",CONTRACT VOLUME INCENTIVE RATES,,5000,19999,,,204.82,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Platteville Located in Weld County, CO (Tier I 5,000 – 19,999 BPD) | Shipper B Incentive Rate",CONTRACT VOLUME INCENTIVE RATES,,5000,19999,,,226.60,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Platteville Located in Weld County, CO (Tier I 5,000 – 19,999 BPD) | Shipper B Extra Barrel Rate",CONTRACT VOLUME INCENTIVE RATES,,5000,19999,,,206.88,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Tier II 20,000 or greater BPD | Shipper A Incentive Rate",CONTRACT VOLUME INCENTIVE RATES,,20000,,,,169.81,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Tier II 20,000 or greater BPD | Shipper A Extra Barrel Rate",CONTRACT VOLUME INCENTIVE RATES,,20000,,,,204.82,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Tier II 20,000 or greater BPD | Shipper B Incentive Rate",CONTRACT VOLUME INCENTIVE RATES,,20000,,,,171.87,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Tier II 20,000 or greater BPD | Shipper B Extra Barrel Rate",CONTRACT VOLUME INCENTIVE RATES,,20000,,,,206.88,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Tier I 1-12,999 BPD | Secondary Origin Barrel Rate",CONTRACT VOLUME INCENTIVE RATES,,1,12999,,,251.15,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Located in Platte County, WY Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,"Tier II 13,000 or greater BPD | Secondary Origin Barrel Rate",CONTRACT VOLUME INCENTIVE RATES,,13000,,,,234.59,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,Buckingham Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,,,,,,244.01,,Crude
