Pipeline,EffectiveDate,RateType,ExpiryDate,Origin,Destination,RateTier,Rate
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Guernsey Located in Platte County, WY","Augusta Located in Butler County, KS2",Rate Tier 1,515.26
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS2",Rate Tier 1,515.26
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Guernsey Located in Platte County, WY","Augusta Located in Butler County, KS2",Rate Tier 2,361.07
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS2",Rate Tier 2,361.07
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Guernsey Located in Platte County, WY","McPherson Located in McPherson County, KS2",Rate Tier 1,515.26
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS2",Rate Tier 1,515.26
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Guernsey Located in Platte County, WY","McPherson Located in McPherson County, KS2",Rate Tier 2,361.07
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS2",Rate Tier 2,361.07
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Guernsey Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",Rate Tier 1,515.26
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",Rate Tier 1,515.26
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Guernsey Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",Rate Tier 2,361.07
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",Rate Tier 2,361.07
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Guernsey Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",Rate Tier 1,518.32
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK3",Rate Tier 1,518.32
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Guernsey Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",Rate Tier 2,364.13
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,NON-CONTRACT RATES TEMPORARY VOLUME INCENTIVE RATES,28-02-2026,"Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK3",Rate Tier 2,364.13
