Origin,Destination,Rate
"Guernsey PXP Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey PXP Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey PXP Located in Platte County, WY","Sterling Located in Logan County, CO",19.9
"Guernsey PXP Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"Guernsey PXP Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"Guernsey PXP Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"Guernsey PXP Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"Guernsey Eighty Eight Oil Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey Eighty Eight Oil Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey Eighty Eight Oil Located in Platte County, WY","Sterling Located in Logan County, CO",19.9
"Guernsey Eighty Eight Oil Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"Guernsey Eighty Eight Oil Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"Guernsey Eighty Eight Oil Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"Guernsey Eighty Eight Oil Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"Guernsey PRG Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey PRG Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey PRG Located in Platte County, WY","Sterling Located in Logan County, CO",19.9
"Guernsey PRG Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"Guernsey PRG Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"Guernsey PRG Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"Guernsey PRG Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"Guernsey Sinclair Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey Sinclair Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey Sinclair Located in Platte County, WY","Sterling Located in Logan County, CO",19.9
"Guernsey Sinclair Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"Guernsey Sinclair Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"Guernsey Sinclair Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"Guernsey Sinclair Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"Guernsey HH Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"Guernsey HH Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"Guernsey HH Located in Platte County, WY","Sterling Located in Logan County, CO",19.9
"Guernsey HH Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"Guernsey HH Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"Guernsey HH Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"Guernsey HH Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"Carpenter Located in Laramie County, WY","Pawnee Located in Weld County, CO",99.49
"Carpenter Located in Laramie County, WY","Buckingham Located in Weld County, CO",99.49
"Carpenter Located in Laramie County, WY","Sterling Located in Logan County, CO",159.18
"Carpenter Located in Laramie County, WY","Augusta Located in Butler County, KS (El Dorado)2",604.38
"Carpenter Located in Laramie County, WY","McPherso n Located in McPherso n County, KS2",604.38
"Carpenter Located in Laramie County, WY","P66 Ponca City Located in Kay County, OK",604.38
"Carpenter Located in Laramie County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",604.38
"Platteville Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"Platteville Located in Weld County, CO","Buckingham Located in Weld County, CO",117.6
