Origin,Destination,Rate,Origin_Part_1,Origin_Part_2,Origin_Part_3,Destination_Part_1,Destination_Part_2,Destination_Part_3
"Guernsey PXP Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,Guernsey PXP,Platte County,WY,Pawnee,Weld County,CO
"Guernsey PXP Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,Guernsey PXP,Platte County,WY,Buckingham,Weld County,CO
"Guernsey PXP Located in Platte County, WY","Sterling Located in Logan County, CO",19.90,Guernsey PXP,Platte County,WY,Sterling,Logan County,CO
"Guernsey PXP Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43,Guernsey PXP,Platte County,WY,Augusta,Butler County,KS
"Guernsey PXP Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43,Guernsey PXP,Platte County,WY,McPherso n,McPherso n County,KS
"Guernsey PXP Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43,Guernsey PXP,Platte County,WY,P66 Ponca City,Kay County,OK
"Guernsey PXP Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,Guernsey PXP,Platte County,WY,Various Cushing Destinatio ns,Payne County,OK
"Guernsey Eighty Eight Oil Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,Guernsey Eighty Eight Oil,Platte County,WY,Pawnee,Weld County,CO
"Guernsey Eighty Eight Oil Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,Guernsey Eighty Eight Oil,Platte County,WY,Buckingham,Weld County,CO
"Guernsey Eighty Eight Oil Located in Platte County, WY","Sterling Located in Logan County, CO",19.90,Guernsey Eighty Eight Oil,Platte County,WY,Sterling,Logan County,CO
"Guernsey Eighty Eight Oil Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43,Guernsey Eighty Eight Oil,Platte County,WY,Augusta,Butler County,KS
"Guernsey Eighty Eight Oil Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43,Guernsey Eighty Eight Oil,Platte County,WY,McPherso n,McPherso n County,KS
"Guernsey Eighty Eight Oil Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43,Guernsey Eighty Eight Oil,Platte County,WY,P66 Ponca City,Kay County,OK
"Guernsey Eighty Eight Oil Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,Guernsey Eighty Eight Oil,Platte County,WY,Various Cushing Destinatio ns,Payne County,OK
"Guernsey PRG Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,Guernsey PRG,Platte County,WY,Pawnee,Weld County,CO
"Guernsey PRG Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,Guernsey PRG,Platte County,WY,Buckingham,Weld County,CO
"Guernsey PRG Located in Platte County, WY","Sterling Located in Logan County, CO",19.90,Guernsey PRG,Platte County,WY,Sterling,Logan County,CO
